Hour,InfectedMost,SpreadMost,NotDead,Dead,Infected,Quarantined
168,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
169,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
170,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
171,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
172,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
173,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
174,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
175,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
176,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
177,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
178,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
179,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
180,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
181,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
182,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
183,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
184,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
185,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
186,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
187,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
188,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
189,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
190,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
191,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
192,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
193,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
194,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
195,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
196,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
197,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
198,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
199,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
200,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
201,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
202,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
203,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
204,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
205,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
206,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
207,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
208,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
209,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
210,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
211,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
212,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
213,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
214,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
215,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
216,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
217,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
218,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
219,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
220,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
221,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
222,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
223,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
224,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
225,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
226,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
227,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
228,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
229,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
230,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
231,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
232,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
233,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
234,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
235,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
236,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
237,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
238,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
239,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
